charging_time,time,day,month,is_festival,is_weekend,city,label
15,11:45,Sunday,June,0,1,Kandy,none
45,22:30,Sunday,January,0,1,Kandy,none
90,12:00,Tuesday,March,0,0,Colombo,"lunch, shopping, visit beautiful place"
15,20:00,Sunday,July,0,1,Colombo,none
15,15:30,Saturday,November,0,1,Negombo,shopping
30,03:45,Saturday,May,0,1,Katunayake,none
30,19:15,Wednesday,December,1,0,Negombo,shopping
90,08:45,Thursday,April,1,0,Anuradhapura,"visit beautiful place, breakfast, shopping"
45,07:45,Saturday,April,1,1,Galle,"breakfast, shopping"
60,13:15,Sunday,May,0,1,Colombo,"lunch, shopping, visit beautiful place"
90,13:00,Thursday,May,0,0,Negombo,"lunch, shopping"
90,22:45,Sunday,February,0,1,Kandy,"dinner, visit beautiful place, shopping"
90,09:45,Tuesday,September,0,0,Matara,"breakfast, shopping"
60,04:15,Saturday,December,1,1,Kurunegala,"visit beautiful place, shopping"
75,16:15,Friday,October,0,0,Negombo,"visit beautiful place, shopping"
30,20:30,Wednesday,October,0,0,Kandy,none
45,20:30,Tuesday,December,1,0,Katunayake,"dinner, shopping"
15,18:00,Saturday,January,0,1,Matara,shopping
45,14:30,Thursday,January,0,0,Negombo,"lunch, shopping"
45,17:45,Wednesday,April,1,0,Colombo,"shopping, tea/coffee shop"
90,15:15,Friday,August,0,0,Negombo,"lunch, shopping"
15,05:45,Friday,April,1,0,Katunayake,none
75,09:00,Wednesday,October,0,0,Katunayake,"breakfast, shopping"
90,04:15,Thursday,January,0,0,Galle,"visit beautiful place, shopping"
15,17:00,Saturday,July,0,1,Negombo,none
15,20:00,Sunday,July,0,1,Colombo,none
45,00:30,Thursday,March,0,0,Kurunegala,tea/coffee shop
30,20:00,Tuesday,April,1,0,Negombo,shopping
60,08:15,Wednesday,March,0,0,Galle,"breakfast, shopping"
45,09:45,Thursday,April,1,0,Colombo,"breakfast, shopping"
45,13:15,Saturday,November,0,1,Negombo,"lunch, shopping"
45,22:30,Monday,April,1,0,Kurunegala,"shopping, tea/coffee shop"
30,14:30,Sunday,February,0,1,Colombo,none
30,07:30,Thursday,September,0,0,Matara,tea/coffee shop
60,14:00,Tuesday,November,0,0,Colombo,"lunch, shopping"
90,09:15,Monday,March,0,0,Colombo,"visit beautiful place, breakfast, shopping"
90,17:30,Friday,August,0,0,Anuradhapura,"visit beautiful place, shopping"
60,17:15,Monday,September,0,0,Kandy,shopping
30,08:15,Monday,January,0,0,Galle,tea/coffee shop
60,07:45,Sunday,September,0,1,Galle,"visit beautiful place, breakfast, shopping"
45,16:00,Monday,November,0,0,Matara,"shopping, tea/coffee shop"
45,19:15,Saturday,June,0,1,Negombo,dinner
45,01:15,Saturday,April,1,1,Colombo,"shopping, tea/coffee shop"
90,13:15,Saturday,August,0,1,Kurunegala,"lunch, shopping, visit beautiful place"
60,16:45,Friday,November,0,0,Galle,none
45,14:45,Sunday,January,0,1,Negombo,"lunch, shopping"
90,09:45,Tuesday,February,0,0,Matara,none
15,14:00,Tuesday,May,0,0,Kandy,none
60,05:00,Saturday,November,0,1,Matara,"visit beautiful place, shopping"
30,17:00,Friday,February,0,0,Matara,tea/coffee shop
15,13:15,Saturday,September,0,1,Negombo,none
60,08:45,Tuesday,February,0,0,Kandy,"breakfast, shopping"
45,18:15,Thursday,February,0,0,Colombo,"shopping, tea/coffee shop"
75,07:45,Friday,December,1,0,Matara,"visit beautiful place, breakfast, shopping"
75,00:30,Sunday,October,0,1,Anuradhapura,"visit beautiful place, shopping"
90,07:00,Thursday,March,0,0,Galle,"breakfast, shopping"
