free_time,station_name,time,city,label
4.0,Eheliyagoda DC,14:00,Eheliyagoda,"watch film, visit beautiful place"
2.0,Matara Town Hall,11:30,Matara,lunch
2.75,Veyangoda Station,08:45,Veyangoda,"breakfast, visit beautiful place"
3.5,Kinniya AC,11:00,Kinniya,visit beautiful place
1.0,Ahangama AC,08:30,Ahangama,breakfast
3.0,Mahiyanganaya AC,21:30,Mahiyanganaya,"dinner, shopping"
0.5,Maharagama City,06:16,Maharagama,tea/coffee shop
2.5,Hikkaduwa AC,20:45,Hikkaduwa,"dinner, shopping"
1.5,Kosgama DC,13:00,Kosgama,lunch
0.75,Warakapola AC,13:30,Warakapola,lunch
2.0,Kalmunai Center,07:30,Kalmunai,breakfast
1.0,Biyagama Factory,20:45,Biyagama,dinner
3.0,Kandana DC,19:30,Kandana,"dinner, shopping"
0.5,Batticaloa City,22:46,Batticaloa,tea/coffee shop
3.0,Gampaha Town,14:00,Gampaha,"lunch, shopping"
4.0,Matara Town Hall,10:15,Matara,visit beautiful place
3.5,Horana Town,12:45,Horana,visit beautiful place
2.0,Hikkaduwa AC,14:15,Hikkaduwa,lunch
3.5,Kandy City Center,16:45,Kandy,visit beautiful place
1.0,Trincomalee Town,13:30,Trincomalee,lunch
1.5,Rambukkana DC,13:15,Rambukkana,lunch
0.5,Kadugannawa AC,01:03,Kadugannawa,tea/coffee shop
3.0,Kandana DC,10:15,Kandana,visit beautiful place
0.25,Matara Town Hall,20:15,Matara,none
0.75,Dambulla DC,12:00,Dambulla,lunch
0.5,Teldeniya AC,03:45,Teldeniya,tea/coffee shop
1.5,Gampola Center,13:30,Gampola,lunch
3.5,Arugam Bay AC,18:45,Arugam Bay,visit beautiful place
2.5,Eheliyagoda DC,16:30,Eheliyagoda,watch film
2.75,Ampara DC,08:30,Ampara,"breakfast, visit beautiful place"
1.5,Sigiriya Jn,07:00,Sigiriya,breakfast
0.5,Tangalle Town,06:09,Tangalle,tea/coffee shop
0.25,Kinniya AC,09:45,Kinniya,none
2.75,Thalahena DC,08:00,Thalahena,"breakfast, visit beautiful place"
3.0,Warakapola AC,21:30,Warakapola,"dinner, shopping"
3.5,Habarana DC,16:00,Habarana,visit beautiful place
0.5,Tissamaharama DC,15:06,Tissamaharama,tea/coffee shop
3.0,Maskeliya Town,11:00,Maskeliya,"lunch, shopping"
0.5,CCC Fast Charge,22:23,Colombo,tea/coffee shop
5.0,Hikkaduwa AC,11:30,Hikkaduwa,visit beautiful place
0.25,Gampaha Town,17:45,Gampaha,none
2.0,Mihintale AC,07:30,Mihintale,breakfast
0.75,Aluthgama Bridge,12:15,Aluthgama,lunch
1.0,Nawalapitiya Town,14:45,Nawalapitiya,lunch
2.5,Station B,20:15,Colombo,"dinner, shopping"
5.0,Kilinochchi Center,17:30,Kilinochchi,visit beautiful place
1.0,Hikkaduwa AC,07:00,Hikkaduwa,breakfast
0.75,Ruwanwella AC,07:45,Ruwanwella,"breakfast, tea/coffee shop"
1.5,Hatton Bus Stand,11:00,Hatton,lunch
4.0,Matara Town Hall,16:30,Matara,"watch film, visit beautiful place"
